areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
N92000002,Northern Ireland,nation,2021-03-19,2899
N92000002,Northern Ireland,nation,2021-03-18,2896
N92000002,Northern Ireland,nation,2021-03-17,2892
N92000002,Northern Ireland,nation,2021-03-16,2890
N92000002,Northern Ireland,nation,2021-03-15,2887
N92000002,Northern Ireland,nation,2021-03-14,2885
N92000002,Northern Ireland,nation,2021-03-13,2884
N92000002,Northern Ireland,nation,2021-03-12,2884
N92000002,Northern Ireland,nation,2021-03-11,2882
N92000002,Northern Ireland,nation,2021-03-10,2876
N92000002,Northern Ireland,nation,2021-03-09,2870
N92000002,Northern Ireland,nation,2021-03-08,2864
N92000002,Northern Ireland,nation,2021-03-07,2862
N92000002,Northern Ireland,nation,2021-03-06,2859
N92000002,Northern Ireland,nation,2021-03-05,2853
N92000002,Northern Ireland,nation,2021-03-04,2852
N92000002,Northern Ireland,nation,2021-03-03,2849
N92000002,Northern Ireland,nation,2021-03-02,2845
N92000002,Northern Ireland,nation,2021-03-01,2841
N92000002,Northern Ireland,nation,2021-02-28,2836
N92000002,Northern Ireland,nation,2021-02-27,2832
N92000002,Northern Ireland,nation,2021-02-26,2829
N92000002,Northern Ireland,nation,2021-02-25,2823
N92000002,Northern Ireland,nation,2021-02-24,2816
N92000002,Northern Ireland,nation,2021-02-23,2808
N92000002,Northern Ireland,nation,2021-02-22,2805
N92000002,Northern Ireland,nation,2021-02-21,2793
N92000002,Northern Ireland,nation,2021-02-20,2786
N92000002,Northern Ireland,nation,2021-02-19,2779
N92000002,Northern Ireland,nation,2021-02-18,2776
N92000002,Northern Ireland,nation,2021-02-17,2769
N92000002,Northern Ireland,nation,2021-02-16,2756
N92000002,Northern Ireland,nation,2021-02-15,2739
N92000002,Northern Ireland,nation,2021-02-14,2731
N92000002,Northern Ireland,nation,2021-02-13,2723
N92000002,Northern Ireland,nation,2021-02-12,2715
N92000002,Northern Ireland,nation,2021-02-11,2704
N92000002,Northern Ireland,nation,2021-02-10,2691
N92000002,Northern Ireland,nation,2021-02-09,2680
N92000002,Northern Ireland,nation,2021-02-08,2674
N92000002,Northern Ireland,nation,2021-02-07,2662
N92000002,Northern Ireland,nation,2021-02-06,2651
N92000002,Northern Ireland,nation,2021-02-05,2636
N92000002,Northern Ireland,nation,2021-02-04,2621
N92000002,Northern Ireland,nation,2021-02-03,2604
N92000002,Northern Ireland,nation,2021-02-02,2596
N92000002,Northern Ireland,nation,2021-02-01,2579
N92000002,Northern Ireland,nation,2021-01-31,2556
N92000002,Northern Ireland,nation,2021-01-30,2539
N92000002,Northern Ireland,nation,2021-01-29,2526
N92000002,Northern Ireland,nation,2021-01-28,2502
N92000002,Northern Ireland,nation,2021-01-27,2483
N92000002,Northern Ireland,nation,2021-01-26,2460
N92000002,Northern Ireland,nation,2021-01-25,2444
N92000002,Northern Ireland,nation,2021-01-24,2425
N92000002,Northern Ireland,nation,2021-01-23,2408
N92000002,Northern Ireland,nation,2021-01-22,2383
N92000002,Northern Ireland,nation,2021-01-21,2368
N92000002,Northern Ireland,nation,2021-01-20,2349
N92000002,Northern Ireland,nation,2021-01-19,2326
N92000002,Northern Ireland,nation,2021-01-18,2298
N92000002,Northern Ireland,nation,2021-01-17,2275
