areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2021-05-19,3892229,130529,17906038,30885683,17906038
E92000001,England,nation,2021-05-18,3890056,130523,17597075,30643982,17597075
E92000001,England,nation,2021-05-17,3887915,130510,17329699,30486466,17329699
E92000001,England,nation,2021-05-16,3885672,130494,17127861,30404208,17127861
E92000001,England,nation,2021-05-15,3884151,130479,16972563,30295153,16972563
E92000001,England,nation,2021-05-14,3882890,130464,16615104,30080823,16615104
E92000001,England,nation,2021-05-13,3881433,130453,16272389,29890233,16272389
E92000001,England,nation,2021-05-12,3879777,130435,15892435,29710343,15892435
E92000001,England,nation,2021-05-11,3878009,130417,15484983,29557429,15484983
E92000001,England,nation,2021-05-10,3876264,130392,15176029,29456977,15176029
E92000001,England,nation,2021-05-09,3874088,130375,14995589,29382706,14995589
E92000001,England,nation,2021-05-08,3872239,130360,14839215,29308255,14839215
E92000001,England,nation,2021-05-07,3871037,130337,14433185,29168232,14433185
E92000001,England,nation,2021-05-06,3869477,130316,14016544,29058911,14016544
E92000001,England,nation,2021-05-05,3867671,130301,13592617,28957352,13592617
E92000001,England,nation,2021-05-04,3865629,130273,13241792,28850088,13241792
E92000001,England,nation,2021-05-03,3863583,130254,13035481,28752498,13035481
E92000001,England,nation,2021-05-02,3861887,130231,12942131,28694335,12942131
E92000001,England,nation,2021-05-01,3860672,130208,12808122,28623475,12808122
E92000001,England,nation,2021-04-30,3859544,130187,12474175,28500201,12474175
E92000001,England,nation,2021-04-29,3858133,130164,12117293,28384715,12117293
E92000001,England,nation,2021-04-28,3856369,130145,11720950,28272769,11720950
E92000001,England,nation,2021-04-27,3854351,130118,11333296,28169937,11333296
E92000001,England,nation,2021-04-26,3852658,130085,11026242,28085378,11026242
E92000001,England,nation,2021-04-25,3850565,130057,10790411,28022870,10790411
E92000001,England,nation,2021-04-24,3848793,130026,10567363,27961068,10567363
E92000001,England,nation,2021-04-23,3847590,130002,10077018,27834855,10077018
E92000001,England,nation,2021-04-22,3846010,129971,9684983,27726298,9684983
E92000001,England,nation,2021-04-21,3844124,129929,9336813,27623068,9336813
E92000001,England,nation,2021-04-20,3841996,129895,8999377,27530042,8999377
E92000001,England,nation,2021-04-19,3840054,129847,8730982,27446777,8730982
E92000001,England,nation,2021-04-18,3837925,129812,8531910,27364529,8531910
E92000001,England,nation,2021-04-17,3835795,129773,8340280,27294302,8340280
E92000001,England,nation,2021-04-16,3834486,129730,7866556,27178364,7866556
E92000001,England,nation,2021-04-15,3832676,129690,7424133,27075391,7424133
E92000001,England,nation,2021-04-14,3830874,129640,7060613,26980962,7060613
E92000001,England,nation,2021-04-13,3828927,129605,6771048,26902328,6771048
E92000001,England,nation,2021-04-12,3827018,129553,6539646,26866491,6539646
E92000001,England,nation,2021-04-11,3824783,129502,6373726,26843376,6373726
E92000001,England,nation,2021-04-10,3822885,129454,6217252,26808194,6217252
E92000001,England,nation,2021-04-09,3820998,129405,5770246,26733592,5770246
E92000001,England,nation,2021-04-08,3818681,129354,5362768,26673374,5362768
E92000001,England,nation,2021-04-07,3816200,129285,4959087,26621400,4959087
E92000001,England,nation,2021-04-06,3813612,129230,4580385,26566619,4580385
E92000001,England,nation,2021-04-05,3811049,129173,4424166,26517151,4424166
E92000001,England,nation,2021-04-04,3808858,129117,4377000,26500357,4377000
E92000001,England,nation,2021-04-03,3806934,129051,4339808,26474576,4339808
E92000001,England,nation,2021-04-02,3804921,129001,4184234,26400137,4184234
E92000001,England,nation,2021-04-01,3802793,128947,3966240,26332374,3966240
E92000001,England,nation,2021-03-31,3799927,128864,3549295,26212961,3549295
E92000001,England,nation,2021-03-30,3796781,128774,3203500,26032829,3203500
E92000001,England,nation,2021-03-29,3793824,128700,2963581,25863543,2963581
E92000001,England,nation,2021-03-28,3790628,128603,2831282,25689313,2831282
E92000001,England,nation,2021-03-27,3786525,128539,2738346,25479054,2738346
E92000001,England,nation,2021-03-26,3783579,128460,2502152,25064044,2502152
E92000001,England,nation,2021-03-25,3779953,128369,2273260,24742730,2273260
E92000001,England,nation,2021-03-24,3775502,128259,2045034,24458367,2045034
E92000001,England,nation,2021-03-23,3770385,128172,1828485,24187829,1828485
E92000001,England,nation,2021-03-22,3766039,128063,1688757,23925586,1688757
E92000001,England,nation,2021-03-21,3760892,127930,1624419,23659925,1624419
E92000001,England,nation,2021-03-20,3756373,127777,1595051,23365342,1595051
E92000001,England,nation,2021-03-19,3753004,127652,1523687,22667773,1523687
E92000001,England,nation,2021-03-18,3748861,127529,1422438,22125094,1422438
E92000001,England,nation,2021-03-17,3744333,127412,1314544,21665824,1314544
E92000001,England,nation,2021-03-16,3739484,127256,1219643,21275509,1219643
E92000001,England,nation,2021-03-15,3734742,127098,1152427,20902332,1152427
E92000001,England,nation,2021-03-14,3729303,126915,1121599,20582148,1121599
E92000001,England,nation,2021-03-13,3725717,126757,1108117,20357060,1108117
E92000001,England,nation,2021-03-12,3722263,126572,1069103,19884380,1069103
E92000001,England,nation,2021-03-11,3717645,126394,1000889,19571218,1000889
E92000001,England,nation,2021-03-10,3712956,126172,946633,19433741,946633
E92000001,England,nation,2021-03-09,3707943,125955,875544,19229951,875544
E92000001,England,nation,2021-03-08,3702720,125734,827054,19053055,827054
E92000001,England,nation,2021-03-07,3697147,125509,804071,18885591,804071
E92000001,England,nation,2021-03-06,3693605,125272,795675,18745077,795675
E92000001,England,nation,2021-03-05,3689897,125025,773844,18354793,773844
E92000001,England,nation,2021-03-04,3685343,124767,736439,17966923,736439
E92000001,England,nation,2021-03-03,3680546,124500,690368,17645270,690368
E92000001,England,nation,2021-03-02,3675442,124252,644598,17416311,644598
E92000001,England,nation,2021-03-01,3669756,123979,615804,17244144,615804
E92000001,England,nation,2021-02-28,3663865,123645,603851,17097951,603851
E92000001,England,nation,2021-02-27,3659908,123320,594415,16940959,594415
E92000001,England,nation,2021-02-26,3655804,122997,578920,16562834,578920
E92000001,England,nation,2021-02-25,3650132,122687,561922,16112486,561922
E92000001,England,nation,2021-02-24,3643510,122315,544164,15673320,544164
E92000001,England,nation,2021-02-23,3636207,121932,528657,15271691,528657
E92000001,England,nation,2021-02-22,3628062,121521,518485,14988930,518485
E92000001,England,nation,2021-02-21,3618205,121135,512954,14843729,512954
E92000001,England,nation,2021-02-20,3611405,120709,510556,14732902,510556
E92000001,England,nation,2021-02-19,3604510,120252,507682,14423785,507682
E92000001,England,nation,2021-02-18,3595627,119771,503139,14106307,503139
E92000001,England,nation,2021-02-17,3585716,119249,498100,13711344,498100
E92000001,England,nation,2021-02-16,3575689,118726,493241,13293943,493241
E92000001,England,nation,2021-02-15,3564872,118151,489863,12986514,489863
E92000001,England,nation,2021-02-14,3552402,117528,488269,12786290,488269
E92000001,England,nation,2021-02-13,3544867,116927,487524,12602990,487524
E92000001,England,nation,2021-02-12,3537126,116340,485234,12167871,485234
E92000001,England,nation,2021-02-11,3526554,115740,481069,11740096,481069
E92000001,England,nation,2021-02-10,3515322,115084,476701,11352051,476701
E92000001,England,nation,2021-02-09,3503477,114384,472334,11020840,472334
E92000001,England,nation,2021-02-08,3491231,113702,469908,10717726,469908
E92000001,England,nation,2021-02-07,3477379,112943,468908,10483786,468908
E92000001,England,nation,2021-02-06,3467218,112213,468545,10260893,468545
E92000001,England,nation,2021-02-05,3456629,111475,467938,9790930,467938
E92000001,England,nation,2021-02-04,3442649,110656,466219,9393621,466219
E92000001,England,nation,2021-02-03,3426491,109870,463482,9006070,463482
E92000001,England,nation,2021-02-02,3409077,108956,461175,8645540,461175
E92000001,England,nation,2021-02-01,3391416,108067,459927,8351391,459927
